,date,user_id,monthly_income,monthly_expense_total,emergency_fund,investment_amount,debt_to_income_ratio,Rasio Dana Darurat,score_dana_darurat,score_utang,cash_flow,score_cashflow,financial_health_score,status_kesiapan
105,2022-09-12,1579,3062.59,2374.18,1952.76,312.53,0.28,0.82,5.47,19.5,688.4100000000003,30,54.97,Perbaiki Dana Darurat dan pelunasan Utang
106,2022-10-12,1866,2567.88,2611.7,397.39,0.0,0.41,0.15,1.0,14.63,-43.81999999999971,0,15.63,WARING!!! : Fokus Lunasi Utang & Nabung
107,2022-11-11,1737,3564.15,2364.97,397.5,48.06,0.14,0.17,1.13,24.75,1199.1800000000003,30,55.88,Perbaiki Dana Darurat dan pelunasan Utang
108,2022-12-11,1370,3018.3,2843.89,997.38,438.22,0.36,0.35,2.33,16.5,174.4100000000003,30,48.83,Perbaiki Dana Darurat dan pelunasan Utang
109,2023-01-10,1807,4385.93,2446.52,1121.99,249.26,0.19,0.46,3.07,22.88,1939.4100000000003,30,55.95,Perbaiki Dana Darurat dan pelunasan Utang
110,2023-02-09,1214,3365.37,4409.87,1014.1,706.14,0.22,0.23,1.53,21.75,-1044.5,0,23.28,WARING!!! : Fokus Lunasi Utang & Nabung
111,2023-03-11,1128,4797.98,3844.56,665.9,331.69,0.18,0.17,1.13,23.25,953.4199999999996,30,54.38,Perbaiki Dana Darurat dan pelunasan Utang
112,2023-04-10,1048,3940.12,3005.82,700.32,231.16,0.37,0.23,1.53,16.12,934.2999999999997,30,47.65,Perbaiki Dana Darurat dan pelunasan Utang
113,2023-05-10,1453,4576.18,2464.61,1394.16,524.2,0.56,0.57,3.8,9.0,2111.57,30,42.8,Perbaiki Dana Darurat dan pelunasan Utang
114,2023-06-09,1386,5111.08,3601.36,1016.3,278.3,0.21,0.28,1.87,22.12,1509.7199999999998,30,53.99,Perbaiki Dana Darurat dan pelunasan Utang
115,2023-07-09,1962,5514.81,2614.04,1074.75,28.65,0.11,0.41,2.73,25.88,2900.7700000000004,30,58.61,Perbaiki Dana Darurat dan pelunasan Utang
116,2023-08-08,1701,3737.87,3199.86,1414.24,633.55,0.18,0.44,2.93,23.25,538.0099999999998,30,56.18,Perbaiki Dana Darurat dan pelunasan Utang
117,2023-09-07,1978,2788.49,2128.48,640.45,394.93,0.14,0.3,2.0,24.75,660.0099999999998,30,56.75,Perbaiki Dana Darurat dan pelunasan Utang
118,2023-10-07,1410,3145.16,2220.45,593.19,821.14,0.52,0.27,1.8,10.5,924.71,30,42.3,Perbaiki Dana Darurat dan pelunasan Utang
119,2023-11-06,1389,3360.3,5853.2,1104.14,392.04,0.57,0.19,1.27,8.63,-2492.8999999999996,0,9.9,WARING!!! : Fokus Lunasi Utang & Nabung
120,2019-01-01,1997,2578.18,2314.4,1538.03,654.57,0.33,0.66,4.4,17.62,263.77999999999975,30,52.02,Perbaiki Dana Darurat dan pelunasan Utang
121,2019-01-31,1577,4532.96,2762.25,1262.0,299.82,0.37,0.46,3.07,16.12,1770.71,30,49.19,Perbaiki Dana Darurat dan pelunasan Utang
122,2019-03-02,1965,6148.1,3555.9,178.61,423.54,0.13,0.05,0.33,25.12,2592.2000000000003,30,55.45,Perbaiki Dana Darurat dan pelunasan Utang
123,2019-04-01,1333,1947.27,4457.39,396.93,596.46,0.46,0.09,0.6,12.75,-2510.1200000000003,0,13.35,WARING!!! : Fokus Lunasi Utang & Nabung
124,2019-05-01,1608,2918.58,1340.14,686.51,385.09,0.35,0.51,3.4,16.88,1578.4399999999998,30,50.28,Perbaiki Dana Darurat dan pelunasan Utang
125,2019-05-31,1527,4743.64,3230.18,210.13,95.44,0.59,0.07,0.47,7.88,1513.4600000000005,30,38.35,WARING!!! : Fokus Lunasi Utang & Nabung
126,2019-06-30,1461,2598.15,3477.97,435.09,752.74,0.48,0.13,0.87,12.0,-879.8199999999997,0,12.87,WARING!!! : Fokus Lunasi Utang & Nabung
127,2019-07-30,1905,3482.5,2302.83,683.01,321.0,0.15,0.3,2.0,24.38,1179.67,30,56.38,Perbaiki Dana Darurat dan pelunasan Utang
128,2019-08-29,1925,4313.75,2613.77,757.58,544.2,0.27,0.29,1.93,19.88,1699.98,30,51.81,Perbaiki Dana Darurat dan pelunasan Utang
129,2019-09-28,1120,2413.74,2468.21,1205.19,391.76,0.23,0.49,3.27,21.38,-54.470000000000255,0,24.65,WARING!!! : Fokus Lunasi Utang & Nabung
130,2019-10-28,1942,3351.95,2206.76,1342.36,369.66,0.33,0.61,4.07,17.62,1145.1899999999996,30,51.69,Perbaiki Dana Darurat dan pelunasan Utang
131,2019-11-27,1061,4724.31,3619.56,557.75,610.37,0.53,0.15,1.0,10.12,1104.7500000000005,30,41.12,Perbaiki Dana Darurat dan pelunasan Utang
132,2019-12-27,1857,4744.74,2737.26,295.45,815.78,0.44,0.11,0.73,13.5,2007.4799999999996,30,44.23,Perbaiki Dana Darurat dan pelunasan Utang
133,2020-01-26,1178,4019.61,3348.09,1207.1,39.16,0.44,0.36,2.4,13.5,671.52,30,45.9,Perbaiki Dana Darurat dan pelunasan Utang
134,2020-02-25,1563,3366.47,4182.38,841.57,201.73,0.48,0.2,1.33,12.0,-815.9100000000003,0,13.33,WARING!!! : Fokus Lunasi Utang & Nabung
135,2020-03-26,1788,4236.25,1861.05,588.55,115.31,0.3,0.32,2.13,18.75,2375.2,30,50.88,Perbaiki Dana Darurat dan pelunasan Utang
136,2020-04-25,1759,3391.04,4857.85,1696.56,748.4,0.17,0.35,2.33,23.62,-1466.8100000000004,0,25.95,WARING!!! : Fokus Lunasi Utang & Nabung
137,2020-05-25,1718,2598.82,2864.59,447.74,0.0,0.11,0.16,1.07,25.88,-265.77,0,26.95,WARING!!! : Fokus Lunasi Utang & Nabung
138,2020-06-24,1250,3511.52,3264.87,1044.62,696.03,0.27,0.32,2.13,19.88,246.6500000000001,30,52.01,Perbaiki Dana Darurat dan pelunasan Utang
139,2020-07-24,1671,3735.72,3341.88,951.49,298.72,0.4,0.28,1.87,15.0,393.8399999999997,30,46.87,Perbaiki Dana Darurat dan pelunasan Utang
140,2020-08-23,1224,2829.98,2944.6,808.29,254.35,0.41,0.27,1.8,14.63,-114.61999999999989,0,16.43,WARING!!! : Fokus Lunasi Utang & Nabung
141,2020-09-22,1947,2249.7,3320.08,1159.91,393.77,0.45,0.35,2.33,13.12,-1070.38,0,15.45,WARING!!! : Fokus Lunasi Utang & Nabung
142,2020-10-22,1538,5275.13,2932.46,766.96,264.15,0.4,0.26,1.73,15.0,2342.67,30,46.73,Perbaiki Dana Darurat dan pelunasan Utang
143,2020-11-21,1070,5822.68,3179.36,761.82,29.11,0.2,0.24,1.6,22.5,2643.32,30,54.1,Perbaiki Dana Darurat dan pelunasan Utang
144,2020-12-21,1568,2841.36,2155.87,745.31,0.0,0.36,0.35,2.33,16.5,685.4900000000002,30,48.83,Perbaiki Dana Darurat dan pelunasan Utang
145,2021-01-20,1561,5173.36,1901.57,912.0,347.42,0.46,0.48,3.2,12.75,3271.79,30,45.95,Perbaiki Dana Darurat dan pelunasan Utang
146,2021-02-19,1726,3916.1,3321.43,2192.03,275.25,0.28,0.66,4.4,19.5,594.6700000000001,30,53.9,Perbaiki Dana Darurat dan pelunasan Utang
147,2021-03-21,1109,4870.59,3461.87,448.36,380.98,0.25,0.13,0.87,20.62,1408.7200000000003,30,51.49,Perbaiki Dana Darurat dan pelunasan Utang
148,2021-04-20,1532,3192.65,2536.07,1500.46,110.83,0.28,0.59,3.93,19.5,656.5799999999999,30,53.43,Perbaiki Dana Darurat dan pelunasan Utang
149,2021-05-20,1433,4364.93,2068.6,1337.57,0.0,0.18,0.65,4.33,23.25,2296.3300000000004,30,57.58,Perbaiki Dana Darurat dan pelunasan Utang
150,2021-06-19,1469,4424.01,3273.45,1072.04,448.44,0.41,0.33,2.2,14.63,1150.5600000000004,30,46.83,Perbaiki Dana Darurat dan pelunasan Utang
151,2021-07-19,1942,3950.61,4145.59,972.52,94.21,0.22,0.23,1.53,21.75,-194.98000000000002,0,23.28,WARING!!! : Fokus Lunasi Utang & Nabung
152,2021-08-18,1191,3552.09,2608.6,1932.91,352.15,0.16,0.74,4.93,24.0,943.4900000000002,30,58.93,Perbaiki Dana Darurat dan pelunasan Utang
153,2021-09-17,1975,3780.84,2435.75,244.24,577.32,0.25,0.1,0.67,20.62,1345.0900000000001,30,51.29,Perbaiki Dana Darurat dan pelunasan Utang
154,2021-10-17,1611,4348.0,2301.0,976.95,335.33,0.39,0.42,2.8,15.38,2047.0,30,48.18,Perbaiki Dana Darurat dan pelunasan Utang
155,2021-11-16,1869,4451.58,2430.48,1704.66,799.51,0.2,0.7,4.67,22.5,2021.1,30,57.17,Perbaiki Dana Darurat dan pelunasan Utang
156,2021-12-16,1247,4514.39,2230.66,957.85,83.75,0.36,0.43,2.87,16.5,2283.7300000000005,30,49.37,Perbaiki Dana Darurat dan pelunasan Utang
157,2022-01-15,1117,4224.96,2896.18,632.33,113.33,0.39,0.22,1.47,15.38,1328.7800000000002,30,46.85,Perbaiki Dana Darurat dan pelunasan Utang
158,2022-02-14,1401,3522.96,3828.39,1881.79,298.87,0.36,0.49,3.27,16.5,-305.42999999999984,0,19.77,WARING!!! : Fokus Lunasi Utang & Nabung
159,2022-03-16,1805,5599.7,2721.35,0.0,1049.32,0.15,0.0,0.0,24.38,2878.35,30,54.38,Perbaiki Dana Darurat dan pelunasan Utang
160,2022-04-15,1808,4148.47,3669.69,2083.31,45.38,0.32,0.57,3.8,18.0,478.7800000000002,30,51.8,Perbaiki Dana Darurat dan pelunasan Utang
161,2022-05-15,1733,5173.72,3570.01,817.05,412.01,0.47,0.23,1.53,12.38,1603.71,30,43.91,Perbaiki Dana Darurat dan pelunasan Utang
162,2022-06-14,1856,878.47,3711.08,1628.87,451.01,0.29,0.44,2.93,19.12,-2832.6099999999997,0,22.05,WARING!!! : Fokus Lunasi Utang & Nabung
163,2022-07-14,1317,5784.09,3430.15,1764.62,773.55,0.39,0.51,3.4,15.38,2353.94,30,48.78,Perbaiki Dana Darurat dan pelunasan Utang
