date,user_id,monthly_income,monthly_expense_total,emergency_fund,investment_amount,debt_to_income_ratio,age,Rasio Dana Darurat,score_emergency,cluster_investor,status_kesiapan_invest,ticker_saham,jumlah_lot,average_price
2022-03-16,1482,77911505.82,61562235.06,20181147.48,0.0,0.13,29,0.33,2.2,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2022-04-15,1913,66114554.94,39176587.44,13824748.44,4873740.300000001,0.5,29,0.35,2.33,1,Belum Siap Investasi,MTEL.JK,21,2925
2022-05-15,1529,68749538.22,72611127.54,3671778.24,9660440.16,0.13,20,0.05,0.33,0,Siap Investasi (Agresif),HMSP.JK,19,3972
2022-06-14,1737,70738534.62,41247555.66,14985287.64,5984641.98,0.4,29,0.36,2.4,1,Belum Siap Investasi,PTPP.JK,29,4513
2022-07-14,1205,71243648.82000001,54488538.900000006,8246469.96,2797878.24,0.57,24,0.15,1.0,1,Belum Siap Investasi,ICBP.JK,25,3448
2022-08-13,1756,72625634.28,55182065.94,23559994.44,4282634.34,0.27,21,0.43,2.87,2,Siap Investasi (Konservatif),TPIA.JK,33,4471
2022-09-12,1957,33225153.66,62533837.080000006,24435467.459999997,4147179.84,0.31,26,0.39,2.6,2,Siap Investasi (Konservatif),MIKA.JK,49,3774
2022-10-12,1983,41985476.82,50719757.76,27425254.14,8066271.78,0.18,20,0.54,3.6,0,Siap Investasi (Agresif),INCO.JK,32,1990
2022-11-11,1206,65792610.18,51002027.46,13800454.020000001,0.0,0.44,22,0.27,1.8,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2022-12-11,1983,62040258.36,48888587.7,12466008.72,5485470.300000001,0.16,20,0.25,1.67,2,Siap Investasi (Konservatif),UNTR.JK,49,3946
2023-01-10,1984,82540029.78,53745024.78,11578650.66,2288569.32,0.33,24,0.22,1.47,2,Siap Investasi (Konservatif),BRPT.JK,35,2812
2023-02-09,1368,59312641.68,59593687.919999994,22102678.799999997,4365305.28,0.19,22,0.37,2.47,2,Siap Investasi (Konservatif),BRIS.JK,44,4647
2023-03-11,1443,74542796.1,31786364.700000003,24987597.48,530806.86,0.27,26,0.79,5.07,2,Siap Investasi (Konservatif),WIKA.JK,38,1857
2023-04-10,1506,55409804.28,38699962.38,18956813.58,8146670.58,0.28,24,0.49,3.27,0,Siap Investasi (Agresif),WIKA.JK,26,1803
2023-05-10,1942,79933535.64,65871785.52,27810993.6,8120628.36,0.55,19,0.42,2.8,1,Belum Siap Investasi,PTBA.JK,11,1489
2023-06-09,1353,48954479.76,29081993.76,24829421.58,9675820.8,0.17,21,0.85,5.07,0,Siap Investasi (Agresif),WIKA.JK,35,4556
2023-07-09,1477,97501896.9,45455209.38,24117892.200000003,14065839.971999988,0.45,26,0.53,3.53,0,Siap Investasi (Agresif),SIDO.JK,8,2780
2023-08-08,1657,71282624.76,44509300.02,24058292.22,12064713.84,0.37,29,0.54,3.6,0,Siap Investasi (Agresif),MTEL.JK,46,2493
2023-09-07,1275,71939972.33999999,51034186.98,15680212.92,6761539.08,0.53,19,0.31,2.07,1,Belum Siap Investasi,TINS.JK,14,4645
2023-10-07,1908,74597677.02,44306555.22,16220982.24,8724668.040000001,0.5,27,0.37,2.47,1,Belum Siap Investasi,SMGR.JK,10,3985
2023-11-06,1585,95548206.06,61490225.7,15252351.479999999,7332370.56,0.33,26,0.25,1.67,0,Siap Investasi (Agresif),TLKM.JK,2,3891
2019-01-01,1177,62814009.419999994,59457009.96,32512051.26,12213451.62,0.13,27,0.55,3.67,0,Siap Investasi (Agresif),AKRA.JK,46,2705
2019-01-31,1900,91170840.96,52488880.919999994,7513093.08,3627384.1199999996,0.25,22,0.14,0.93,2,Siap Investasi (Konservatif),KLBF.JK,9,4516
2019-03-02,1213,69867081.53999999,39212941.68,8157332.16,12326184.72,0.45,19,0.21,1.4,1,Belum Siap Investasi,SIDO.JK,3,4340
2019-04-01,1855,84570623.82,76770716.76,21441660.84,14065839.971999988,0.5,21,0.28,1.87,1,Belum Siap Investasi,ARTO.JK,21,3314
2019-05-01,1094,63153082.62,18687477.6,10651967.100000001,8128668.239999999,0.48,29,0.57,3.8,1,Belum Siap Investasi,ESSA.JK,26,1053
2019-05-31,1900,70885349.82000001,82136637.54,6192630.18,8444146.14,0.41,29,0.08,0.53,1,Belum Siap Investasi,BBCA.JK,8,3575
2019-06-30,1483,79239134.69999999,59265975.419999994,23285240.28,2132665.56,0.27,24,0.39,2.6,2,Siap Investasi (Konservatif),MBMA.JK,48,4591
2019-07-30,1512,96702278.4,14173084.979999999,28584919.44,3997043.82,0.14,29,2.02,5.07,2,Siap Investasi (Konservatif),CPIN.JK,2,1615
2019-08-29,1458,92550204.72,30412593.9,17531832.240000002,6235276.5,0.16,30,0.58,3.87,2,Siap Investasi (Konservatif),AMMN.JK,6,2082
2019-09-28,1038,64765777.68,51952481.099999994,24829596.36,0.0,0.11,25,0.48,3.2,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2019-10-28,1595,79031845.62,54739872.54,17722517.22,5301776.52,0.41,20,0.32,2.13,1,Belum Siap Investasi,HMSP.JK,28,2848
2019-11-27,1205,63436575.78,58597267.14,22625970.12,8658775.98,0.39,18,0.39,2.6,1,Belum Siap Investasi,UNTR.JK,29,4111
2019-12-27,1511,45201079.26,44289776.34,3243567.24,14065839.971999988,0.56,21,0.07,0.47,1,Belum Siap Investasi,BMRI.JK,26,4308
2020-01-26,1084,64267479.900000006,39780627.12,14578225.020000001,10505851.020000001,0.57,19,0.37,2.47,1,Belum Siap Investasi,SCMA.JK,25,1954
2020-02-25,1799,57422570.76,47046056.94,3409783.02,7100262.72,0.47,25,0.07,0.47,1,Belum Siap Investasi,TOWR.JK,12,3433
2020-03-26,1866,66675773.52,35316221.58,32735070.540000003,11648562.66,0.18,21,0.93,5.07,0,Siap Investasi (Agresif),BBCA.JK,5,2629
2020-04-25,1949,39887417.7,31607564.76,8510912.1,8559500.94,0.43,19,0.27,1.8,1,Belum Siap Investasi,HRUM.JK,34,3781
2020-05-25,1730,69975270.36,74359277.1,13882076.28,13411218.96,0.46,23,0.19,1.27,1,Belum Siap Investasi,SRTG.JK,48,3763
2020-06-24,1355,72878890.5,53559233.64,18178168.68,13271744.520000001,0.24,23,0.34,2.27,0,Siap Investasi (Agresif),ADRO.JK,37,1649
2020-07-24,1166,72613924.02,53663227.74,12646381.68,8314109.82,0.35,27,0.24,1.6,0,Siap Investasi (Agresif),ERAA.JK,15,3347
2020-08-23,1694,96670643.22,17411758.38,22798477.98,10436288.58,0.1,21,1.31,5.07,0,Siap Investasi (Agresif),INCO.JK,44,1394
2020-09-22,1230,39308022.0,77060327.22,25791760.26,5458029.84,0.35,23,0.33,2.2,2,Siap Investasi (Konservatif),PTBA.JK,36,4278
2020-10-22,1306,71800847.46,45288818.82,11707987.86,722190.96,0.1,30,0.26,1.73,2,Siap Investasi (Konservatif),UNTR.JK,15,2359
2020-11-21,1856,57358776.06,51337605.06,28713907.08,10933188.12,0.22,19,0.56,3.73,0,Siap Investasi (Agresif),ARTO.JK,43,3640
2020-12-21,1310,63658371.599999994,32727380.22,19922123.52,7397913.06,0.16,27,0.61,4.07,0,Siap Investasi (Agresif),MTEL.JK,48,4801
2021-01-20,1332,60533479.98,57186967.32,25595831.88,6931949.58,0.16,29,0.45,3.0,0,Siap Investasi (Agresif),UNVR.JK,23,3561
2021-02-19,1071,80384992.38,62292815.46,8808212.879999999,12868352.28,0.37,19,0.14,0.93,0,Siap Investasi (Agresif),ASII.JK,6,4249
2021-03-21,1371,59002581.96,45920124.18,9303714.18,10137764.34,0.23,27,0.2,1.33,0,Siap Investasi (Agresif),PTBA.JK,46,3443
2021-04-20,1938,70329199.86,23775672.959999997,35271128.339999996,0.0,0.21,21,1.48,5.07,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2021-05-20,1260,86970877.56,68212089.72,10358161.92,5567092.56,0.43,25,0.15,1.0,1,Belum Siap Investasi,JPFA.JK,44,1370
2021-06-19,1277,67713092.82000001,46734424.2,3364340.22,0.0,0.42,24,0.07,0.47,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2021-07-19,1446,61865653.14,20839194.18,5301252.18,2280529.44,0.4,29,0.25,1.67,2,Siap Investasi (Konservatif),BMRI.JK,43,1857
2021-08-18,1917,49502589.84,82440230.4,20370259.44,8386818.300000001,0.23,26,0.25,1.67,0,Siap Investasi (Agresif),BUKA.JK,45,1790
2021-09-17,1209,60415503.48,50868145.98,10347150.78,3894797.52,0.48,25,0.2,1.33,1,Belum Siap Investasi,JSMR.JK,21,1657
2021-10-17,1896,51646266.54,87592570.02,16773461.82,10630469.16,0.35,22,0.19,1.27,0,Siap Investasi (Agresif),SCMA.JK,23,4389
2021-11-16,1335,76457161.44,82218434.58,9491777.46,4812916.86,0.28,30,0.12,0.8,2,Siap Investasi (Konservatif),MDKA.JK,43,3783
2021-12-16,1604,55684558.44,30084007.5,16764897.600000001,7049401.739999999,0.32,19,0.56,3.73,0,Siap Investasi (Agresif),AMMN.JK,16,2392
2022-01-15,1895,55063914.66,48233512.26,12046886.28,7308600.48,0.16,22,0.25,1.67,0,Siap Investasi (Agresif),ADRO.JK,47,1383
2022-02-14,1662,66365014.68,48810810.599999994,27844726.14,444290.76,0.34,25,0.57,3.8,2,Siap Investasi (Konservatif),WIKA.JK,15,3109
2022-03-16,1461,55106211.419999994,32964906.24,17277702.12,5685593.4,0.54,27,0.52,3.47,1,Belum Siap Investasi,ANTM.JK,25,4877
2022-04-15,1243,86581292.94,52662787.02,25728489.9,9107785.8,0.56,26,0.49,3.27,1,Belum Siap Investasi,TBIG.JK,36,3552
2022-05-15,1894,92624311.44,43008813.72,5165098.56,4620484.08,0.25,29,0.12,0.8,2,Siap Investasi (Konservatif),MIKA.JK,11,1238
2022-06-14,1446,57087517.5,24125407.74,18965377.799999997,8117482.32,0.19,29,0.79,5.07,0,Siap Investasi (Agresif),AMMN.JK,15,1194
2022-07-14,1827,66505363.02,35771523.480000004,17142422.4,5361726.06,0.27,29,0.48,3.2,2,Siap Investasi (Konservatif),TBIG.JK,4,3725
2022-08-13,1063,82062880.38,79112943.54,20520045.9,14065839.971999988,0.52,30,0.26,1.73,1,Belum Siap Investasi,INDF.JK,21,4293
2022-09-12,1579,53527948.02,41495918.04,34130339.28,5462399.34,0.28,26,0.82,5.07,2,Siap Investasi (Konservatif),CPIN.JK,13,3108
2022-10-12,1866,44881406.64,45647292.599999994,6945582.42,0.0,0.41,30,0.15,1.0,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2022-11-11,1737,62294213.7,41334945.66,6947505.0,839992.68,0.14,30,0.17,1.13,2,Siap Investasi (Konservatif),HRUM.JK,22,2152
2022-12-11,1370,52753847.400000006,49705509.419999994,17432207.64,7659209.16,0.36,18,0.35,2.33,1,Belum Siap Investasi,MTEL.JK,19,4037
2023-01-10,1807,76657284.54,42760276.56,19610141.22,4356566.28,0.19,26,0.46,3.07,2,Siap Investasi (Konservatif),ITMG.JK,34,3732
2023-02-09,1214,58819936.86,77075707.86,17724439.8,12341914.92,0.22,24,0.23,1.53,0,Siap Investasi (Agresif),BBNI.JK,14,3015
2023-03-11,1128,83859094.44,67195219.67999999,11638600.2,5797277.82,0.18,26,0.17,1.13,2,Siap Investasi (Konservatif),WIKA.JK,4,1155
2023-04-10,1048,68865417.36,52535721.96,12240192.96,4040214.48,0.37,25,0.23,1.53,2,Siap Investasi (Konservatif),JSMR.JK,48,4988
2023-05-10,1453,79982474.04,43076453.580000006,24367128.48,9161967.600000001,0.56,18,0.57,3.8,1,Belum Siap Investasi,BMRI.JK,46,4449
2023-06-09,1386,89331456.24,62944570.080000006,17762891.4,4864127.4,0.21,29,0.28,1.87,2,Siap Investasi (Konservatif),INKP.JK,27,4693
2023-07-09,1962,96387849.18,45688191.12,18784480.5,500744.69999999995,0.11,25,0.41,2.73,2,Siap Investasi (Konservatif),PTMP.JK,29,4852
2023-08-08,1701,65330491.86,55927153.080000006,24718086.72,11073186.899999999,0.18,25,0.44,2.93,0,Siap Investasi (Agresif),BRIS.JK,47,1922
2023-09-07,1978,48737228.22,37201573.44,11193785.100000001,6902586.54,0.14,28,0.3,2.0,2,Siap Investasi (Konservatif),ASII.JK,28,3915
2023-10-07,1410,54971106.48,38809025.099999994,10367774.82,14065839.971999988,0.52,20,0.27,1.8,1,Belum Siap Investasi,BMRI.JK,35,3950
2023-11-06,1389,58731323.400000006,102302229.6,19298158.92,6852075.12,0.57,18,0.19,1.27,1,Belum Siap Investasi,GGRM.JK,8,4861
2019-01-01,1997,45061430.04,40451083.2,26881688.34,11440574.46,0.33,25,0.66,4.4,0,Siap Investasi (Agresif),UNTR.JK,16,2609
2019-01-31,1577,79227074.88,48278605.5,22057236.0,5240253.96,0.37,20,0.46,3.07,1,Belum Siap Investasi,TLKM.JK,42,4046
2019-03-02,1965,107456491.80000001,62150020.2,3121745.58,7402632.12,0.13,20,0.05,0.33,2,Siap Investasi (Konservatif),WIKA.JK,36,4508
2019-04-01,1333,34034385.06,77906262.42,6937542.54,10424927.88,0.46,18,0.09,0.6,1,Belum Siap Investasi,MDKA.JK,30,1974
2019-05-01,1608,51010941.24,23422966.92,11998821.78,6730603.02,0.35,28,0.51,3.4,1,Belum Siap Investasi,ESSA.JK,18,2230
2019-05-31,1527,82909339.92,56457086.04,3672652.14,1668100.32,0.57,22,0.07,0.47,1,Belum Siap Investasi,BRPT.JK,2,3435
2019-06-30,1461,45410465.7,60787959.66,7604503.02,13156389.72,0.48,27,0.13,0.87,1,Belum Siap Investasi,PGAS.JK,49,4551
2019-07-30,1905,60867135.0,40248862.74,11937648.78,5610438.0,0.15,24,0.3,2.0,2,Siap Investasi (Konservatif),CPIN.JK,13,2814
2019-08-29,1925,75395722.5,45683472.06,13240983.24,9511527.600000001,0.27,27,0.29,1.93,0,Siap Investasi (Agresif),PTBA.JK,4,3934
2019-09-28,1120,42187347.72,43139374.38,21064310.82,6847181.28,0.23,26,0.49,3.27,0,Siap Investasi (Agresif),SRTG.JK,26,1837
2019-10-28,1942,58585382.099999994,38569751.28,23461768.08,6460917.48,0.33,29,0.61,4.07,2,Siap Investasi (Konservatif),GOTO.JK,25,3007
2019-11-27,1061,82571490.18,63262669.68,9748354.5,10668046.86,0.53,24,0.15,1.0,1,Belum Siap Investasi,HRUM.JK,30,2363
2019-12-27,1857,82928565.72,47841830.28,5163875.1,14065839.971999988,0.44,26,0.11,0.73,0,Siap Investasi (Agresif),HMSP.JK,11,4940
2020-01-26,1178,70254743.58,58517917.02,21097693.799999997,684438.48,0.44,25,0.36,2.4,2,Siap Investasi (Konservatif),UNTR.JK,7,3387
2020-02-25,1563,58839162.66,73099637.64,14708960.46,3525836.94,0.48,29,0.2,1.33,1,Belum Siap Investasi,UNTR.JK,31,1203
2020-03-26,1788,74041177.5,32527431.9,10286676.899999999,2015388.18,0.3,19,0.32,2.13,2,Siap Investasi (Konservatif),UNTR.JK,44,1160
2020-04-25,1759,59268597.12,84905502.30000001,29652475.68,13080535.2,0.17,18,0.35,2.33,0,Siap Investasi (Agresif),PGAS.JK,10,4611
2020-05-25,1718,45422175.96,50067304.02,7825599.72,0.0,0.11,24,0.16,1.07,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2020-06-24,1250,61374346.56,57063397.86,18257868.36,12165212.34,0.27,24,0.32,2.13,0,Siap Investasi (Agresif),MEDC.JK,39,1391
2020-07-24,1671,65292914.16,58409378.64,16630142.22,5221028.16,0.4,25,0.28,1.87,1,Belum Siap Investasi,INDF.JK,13,1768
2020-08-23,1224,49462390.44,51465718.8,14127292.62,4445529.3,0.41,22,0.27,1.8,1,Belum Siap Investasi,BRIS.JK,31,4748
2020-09-22,1947,39320256.599999994,58028358.24,20272906.98,6882312.06,0.45,20,0.35,2.33,1,Belum Siap Investasi,PGAS.JK,7,3622
2020-10-22,1538,92198722.14,51253535.88,13404926.88,4616813.699999999,0.4,29,0.26,1.73,1,Belum Siap Investasi,ACES.JK,49,3581
2020-11-21,1070,101768801.04,55568854.080000006,13315089.96,508784.58,0.2,25,0.24,1.6,2,Siap Investasi (Konservatif),HMSP.JK,42,2093
2020-12-21,1568,49661290.080000006,37680295.86,13026528.18,0.0,0.36,23,0.35,2.33,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2021-01-20,1561,90419986.08,33235640.459999997,15939936.0,6072206.760000001,0.46,28,0.48,3.2,1,Belum Siap Investasi,ARTO.JK,42,3940
2021-02-19,1726,68445595.8,58051953.54,38312300.34,4810819.5,0.28,20,0.66,4.4,2,Siap Investasi (Konservatif),BBCA.JK,36,1404
2021-03-21,1109,85128172.02,60506563.86,7836436.08,6658768.44,0.25,18,0.13,0.87,2,Siap Investasi (Konservatif),GOTO.JK,20,1607
2021-04-20,1532,55801136.7,44325431.46,26225039.88,1937086.74,0.28,20,0.59,3.93,2,Siap Investasi (Konservatif),ACES.JK,4,4746
2021-05-20,1433,76290246.54,36154990.8,23378048.459999997,0.0,0.18,22,0.65,4.33,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2021-06-19,1469,77322846.78,57213359.099999994,18737115.12,7837834.32,0.41,20,0.33,2.2,1,Belum Siap Investasi,MTEL.JK,7,2614
2021-07-19,1942,69048761.58,72456622.02,16997704.56,1646602.38,0.22,18,0.23,1.53,2,Siap Investasi (Konservatif),ASII.JK,1,2540
2021-08-18,1191,62083429.02,45593110.8,33783400.980000004,6154877.699999999,0.16,22,0.74,4.93,2,Siap Investasi (Konservatif),GOTO.JK,44,3875
2021-09-17,1975,66081521.52,42572038.5,4268826.72,10090398.96,0.25,27,0.1,0.67,0,Siap Investasi (Agresif),BBRI.JK,45,4191
2021-10-17,1611,75994344.0,40216878.0,17075132.1,5860897.739999999,0.39,24,0.42,2.8,1,Belum Siap Investasi,SIDO.JK,42,2837
2021-11-16,1869,77804715.24,42479929.44,29794047.48,13973835.78,0.2,24,0.7,4.67,0,Siap Investasi (Agresif),BUKA.JK,47,1689
2021-12-16,1247,78902508.42,38987475.48,16741302.3,1463782.5,0.36,28,0.43,2.87,2,Siap Investasi (Konservatif),ASII.JK,13,4759
2022-01-15,1117,73843850.88,50619434.04,11051863.74,1980781.74,0.39,26,0.22,1.47,2,Siap Investasi (Konservatif),JPFA.JK,22,3949
2022-02-14,1401,61574294.88,66912600.419999994,32889925.62,5223649.86,0.36,27,0.49,3.27,2,Siap Investasi (Konservatif),JPFA.JK,21,2240
2022-03-16,1805,97871556.6,47563755.3,0.0,14065839.971999988,0.15,27,0.0,0.0,0,Siap Investasi (Agresif),ISAT.JK,22,3103
2022-04-15,1808,72506958.66000001,64138841.82,36412092.18,793151.64,0.32,29,0.57,3.8,2,Siap Investasi (Konservatif),TPIA.JK,28,1365
2022-05-15,1733,90426278.16000001,62396634.78,14280399.899999999,7201110.78,0.47,30,0.23,1.53,1,Belum Siap Investasi,AMRT.JK,9,2722
2022-06-14,1856,15353898.66,64862256.24,28469389.86,7882752.78,0.29,20,0.44,2.93,0,Siap Investasi (Agresif),MIKA.JK,26,4575
2022-07-14,1317,101094325.02,59952161.7,30842028.36,13520106.899999999,0.39,24,0.51,3.4,0,Siap Investasi (Agresif),MBMA.JK,9,4815
2022-08-13,1491,62892660.419999994,52493774.76,16095664.979999999,10538709.66,0.5,18,0.31,2.07,1,Belum Siap Investasi,TOWR.JK,15,4838
2022-09-12,1643,65563823.16,78504709.14,30167377.56,6846307.38,0.48,21,0.38,2.53,1,Belum Siap Investasi,MEDC.JK,10,4996
2022-10-12,1865,70229924.82000001,41030304.12,14186717.82,9784533.96,0.44,30,0.35,2.33,1,Belum Siap Investasi,INCO.JK,24,1454
2022-11-11,1194,77001076.80000001,36472041.72,21934715.22,5098332.6,0.31,21,0.6,4.0,2,Siap Investasi (Konservatif),ARTO.JK,42,1103
2022-12-11,1889,69710303.88,84774941.64,17428012.919999998,8974603.44,0.39,22,0.21,1.4,1,Belum Siap Investasi,BBCA.JK,8,1076
2023-01-10,1760,41057569.8,60790930.919999994,30125080.799999997,8370738.54,0.57,24,0.5,3.33,1,Belum Siap Investasi,ASII.JK,24,1229
2023-02-09,1845,59154116.22,54603019.8,10925148.24,4892966.1,0.19,24,0.2,1.33,2,Siap Investasi (Konservatif),BBTN.JK,16,2937
2023-03-11,1300,48462998.400000006,62171692.919999994,24051126.24,7357364.1,0.47,30,0.39,2.6,1,Belum Siap Investasi,ITMG.JK,49,4329
2023-04-10,1942,66270283.919999994,53283256.02,12718565.82,4462482.96,0.12,28,0.24,1.6,2,Siap Investasi (Konservatif),ISAT.JK,26,4335
2023-05-10,1639,97734703.86,37699521.66,8163624.239999999,0.0,0.57,30,0.22,1.47,1,Belum Siap Investasi,Belum Ada Portfolio,0,0
2023-06-09,1722,95493150.36,49223116.62,26551703.700000003,3860890.2,0.46,21,0.54,3.6,1,Belum Siap Investasi,PTMP.JK,27,3378
2023-07-09,1351,96138787.68,43728907.32,8373884.58,0.0,0.17,30,0.19,1.27,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2023-08-08,1680,83654601.83999999,45078733.26,26113705.02,12733771.68,0.13,24,0.58,3.87,0,Siap Investasi (Agresif),TINS.JK,37,2205
2023-09-07,1432,53057615.04,49757768.64,20104419.06,6019423.199999999,0.53,28,0.4,2.67,1,Belum Siap Investasi,GGRM.JK,4,1892
2023-10-07,1077,38748551.22,59315612.94,8556529.68,14065839.971999988,0.27,20,0.14,0.93,0,Siap Investasi (Agresif),WIKA.JK,24,4839
